exercise,type,bodypart,equipment,level
Lying High Bench Barbell Curl,Strength,Biceps,Barbell,Beginner
Seated wide-grip curl to close-grip curl,Strength,Biceps,Barbell,Beginner
Seated Straigh-Bar Curl Superset,Strength,Biceps,Barbell,Beginner
Dave Draper Forehead Curl,Strength,Biceps,Barbell,Intermediate
Reverse-grip EZ-bar curl,Strength,Biceps,Barbell,Intermediate
EZ-Bar Spider Curl - Gethin Variation,Strength,Biceps,Barbell,Intermediate
Barbell curl-,Strength,Biceps,Barbell,Intermediate
Paul Carter Barbell Curl,Strength,Biceps,Barbell,Intermediate
Standing band biceps curl,Strength,Biceps,Barbell,Intermediate
Close-Grip EZ-Bar Curl - Gethin Variation,Strength,Biceps,Barbell,Intermediate
Seated Barbell Curl,Strength,Biceps,Barbell,Intermediate
AM Standing Barbell Curl,Strength,Biceps,Barbell,Intermediate
EZ-bar preacher curl,Strength,Biceps,Barbell,Intermediate
30 Arms Standing Barbell Curl,Strength,Biceps,Barbell,Intermediate
30 Arms Incline Biceps Curl,Strength,Biceps,Barbell,Intermediate
"Bicep Curls ""21s""",Strength,Biceps,Barbell,Intermediate
Incline Hammer Curls,Strength,Biceps,Dumbbell,Beginner
Hammer Curls,Strength,Biceps,Dumbbell,Intermediate
Biceps curl to shoulder press,Strength,Biceps,Dumbbell,Beginner
Concentration curl,Strength,Biceps,Dumbbell,Intermediate
Flexor Incline Dumbbell Curls,Strength,Biceps,Dumbbell,Beginner
Dumbbell Bicep Curl,Strength,Biceps,Dumbbell,Intermediate
Cross-body hammer curl,Strength,Biceps,Dumbbell,Beginner
Dumbbell Alternate Bicep Curl,Strength,Biceps,Dumbbell,Intermediate
Single-arm dumbbell preacher curl,Strength,Biceps,Dumbbell,Intermediate
Alternate Incline Dumbbell Curl,Strength,Biceps,Dumbbell,Intermediate
Standing concentration curl,Strength,Biceps,Dumbbell,Beginner
Alternating incline dumbbell biceps curl,Strength,Biceps,Dumbbell,Intermediate
Alternate Hammer Curl,Strength,Biceps,Dumbbell,Intermediate
Seated dumbbell biceps curl,Strength,Biceps,Dumbbell,Intermediate
Preacher Hammer Dumbbell Curl,Strength,Biceps,Dumbbell,Beginner
Dumbbell preacher curl,Strength,Biceps,Dumbbell,Intermediate
Lying Supine Dumbbell Curl,Strength,Biceps,Dumbbell,Beginner
Standing Dumbbell Reverse Curl,Strength,Biceps,Dumbbell,Beginner
Palms-out incline biceps curl,Strength,Biceps,Dumbbell,Beginner
Straight-arm plank with biceps curl,Strength,Biceps,Dumbbell,Beginner
Face-down incline dumbbell biceps curl,Strength,Biceps,Dumbbell,Beginner
Seated Dumbbell Inner Biceps Curl,Strength,Biceps,Dumbbell,Beginner
Standing Inner-Biceps Curl,Strength,Biceps,Dumbbell,Beginner
Seated hammer curl,Strength,Biceps,Dumbbell,Intermediate
Paul Carter Incline Dumbbell Biceps Curl,Strength,Biceps,Dumbbell,Intermediate
Paul Carter Concentration Curl,Strength,Biceps,Dumbbell,Intermediate
FYR Dumbbell Curl,Strength,Biceps,Dumbbell,Intermediate
Dumbbell biceps curl to upright row,Strength,Biceps,Dumbbell,Intermediate
FYR Dumbbell Hammer Curl,Strength,Biceps,Dumbbell,Intermediate
Dumbbell overhead hold with single-arm curl,Strength,Biceps,Dumbbell,Intermediate
FYR Kneeling Biceps,Strength,Biceps,Dumbbell,Intermediate
Lunge hold dumbbell curl,Strength,Biceps,Dumbbell,Intermediate
FYR Dumbbell Biceps Curl,Strength,Biceps,Dumbbell,Intermediate
Alternating dumbbell snatch,Strength,Biceps,Dumbbell,Intermediate
TBS Incline Dumbbell Curl,Strength,Biceps,Dumbbell,Intermediate
TBS Hammer Curl,Strength,Biceps,Dumbbell,Intermediate
Reverse-grip dumbbell curl,Strength,Biceps,Dumbbell,Intermediate
Incline Dumbbell Curl - Gethin Variation,Strength,Biceps,Dumbbell,Intermediate
Hammer curl,Strength,Biceps,Dumbbell,Intermediate
Seated Dumbbell Curl - Gethin Variation,Strength,Biceps,Dumbbell,Intermediate
Dumbbell Hammer Curl - Gethin Variation,Strength,Biceps,Dumbbell,Intermediate
Single-arm seated dumbbell curl,Strength,Biceps,Dumbbell,Intermediate
Lying Cable Curl - Gethin Variation,Strength,Biceps,Dumbbell,Intermediate
Dumbbell biceps curl,Strength,Biceps,Dumbbell,Intermediate
Seated Biceps Hammer Curl,Strength,Biceps,Dumbbell,Intermediate
HM Alternating Reverse Lunge With Biceps Curl,Strength,Biceps,Dumbbell,Intermediate
AM Hammer Curls,Strength,Biceps,Dumbbell,Intermediate
AM Seated Hammer Curls,Strength,Biceps,Dumbbell,Intermediate
Seated alternating biceps curl,Strength,Biceps,Dumbbell,Intermediate
Alternating hammer curl,Strength,Biceps,Dumbbell,Intermediate
Alternating biceps curl,Strength,Biceps,Dumbbell,Intermediate
Holman Slow Biceps Curl,Strength,Biceps,Dumbbell,Intermediate
Holman Biceps Curl to Chest Punch,Strength,Biceps,Dumbbell,Intermediate
Holman Right Arm Heavy Biceps Curl,Strength,Biceps,Dumbbell,Intermediate
Holman Left Arm Heavy Biceps Curl,Strength,Biceps,Dumbbell,Intermediate
Holman Alternating Front Lunge Biceps Curl,Strength,Biceps,Dumbbell,Intermediate
Holman Weighted Double-Time Biceps Curl,Strength,Biceps,Dumbbell,Intermediate
Holman Heavy Right Arm Biceps Curl,Strength,Biceps,Dumbbell,Intermediate
Holman Heavy Left Arm Biceps Curl,Strength,Biceps,Dumbbell,Intermediate
MetaBurn Dumbbell Drag Curl,Strength,Biceps,Dumbbell,Intermediate
MetaBurn Hammer Curl to Overhead Press,Strength,Biceps,Dumbbell,Intermediate
MetaBurn Biceps Curl To Lateral Raise,Strength,Biceps,Dumbbell,Intermediate
FYR2 Alternating Dumbbell Curl,Strength,Biceps,Dumbbell,Intermediate
FYR2 Pulse Biceps Curl,Strength,Biceps,Dumbbell,Intermediate
FYR2 Seesaw Dumbbell Biceps Curl,Strength,Biceps,Dumbbell,Intermediate
FYR2 Single-Dumbbell Biceps Curl,Strength,Biceps,Dumbbell,Intermediate
FYR2 Dumbbell Curl-Row Complex,Strength,Biceps,Dumbbell,Intermediate
30 Arms Standing Dumbbell Hammer Curl 21s,Strength,Biceps,Dumbbell,Intermediate
30 Arms Standing Biceps Curl,Strength,Biceps,Dumbbell,Intermediate
30 Arms Standing Alternating Hammer Curl,Strength,Biceps,Dumbbell,Intermediate
30 Arms Standing Alternating Biceps Curl,Strength,Biceps,Dumbbell,Intermediate
30 Arms Single-Arm Hammer Preacher Curl,Strength,Biceps,Dumbbell,Intermediate
30 Arms Single-Arm Dumbbell Preacher Curl,Strength,Biceps,Dumbbell,Intermediate
30 Arms Seated Dumbbell Concentration Curl,Strength,Biceps,Dumbbell,Intermediate
30 Arms Seated Biceps Curl,Strength,Biceps,Dumbbell,Intermediate
30 Arms Seated Alternating Biceps Curl,Strength,Biceps,Dumbbell,Intermediate
30 Arms Incline Hammer Curl,Strength,Biceps,Dumbbell,Intermediate
30 Arms Incline Dumbbell Triceps Extension,Strength,Biceps,Dumbbell,Intermediate
30 Arms Hammer Curl,Strength,Biceps,Dumbbell,Intermediate
Reverse Plate Curls,Strength,Biceps,Other,Beginner
Standing Biceps Stretch,Stretching,Biceps,Other,Beginner
Suspended Curl,Strength,Biceps,Other,Beginner
Plate hammer curl,Strength,Biceps,Other,Beginner
Barbell spider curl,Strength,Biceps,Other,Intermediate
Barbell forehead curl,Strength,Biceps,Other,Intermediate
Overhead cable curl,Strength,Biceps,Cable,Intermediate
Standing One-Arm Cable Curl,Strength,Biceps,Cable,Beginner
Reverse Cable Curl,Strength,Biceps,Cable,Beginner
Standing Biceps Cable Curl,Strength,Biceps,Cable,Intermediate
Cable rope hammer curl,Strength,Biceps,Cable,Intermediate
Lying cable biceps curl,Strength,Biceps,Cable,Beginner
Cable rope preacher hammer curl,Strength,Biceps,Cable,Beginner
Lying Close-Grip Bar Curl On High Pulley,Strength,Biceps,Cable,Beginner
Cable EZ-Bar Preacher Curl - Gethin Variation,Strength,Biceps,Cable,Intermediate
Squatting cable EZ-bar biceps curl,Strength,Biceps,Cable,Intermediate
Cable straight-bar biceps curl,Strength,Biceps,Cable,Intermediate
Standing reverse-grip cable curl,Strength,Biceps,Cable,Intermediate
Lying high-cable biceps curl,Strength,Biceps,Cable,Intermediate
High-Pulley Cable Curl - Gethin Variation,Strength,Biceps,Cable,Intermediate
Standing High Cable Curl - Gethin Variation,Strength,Biceps,Cable,Intermediate
High Cable Curls,Strength,Biceps,Cable,Intermediate
Seated cable biceps curl,Strength,Biceps,Cable,Intermediate
Lying Close-Grip Bar Curl On High Pulley - Gethin Variation,Strength,Biceps,Cable,Intermediate
Standing Cable Curl - Gethin Variation,Strength,Biceps,Cable,Intermediate
Double Arm Cable Biceps Curl,Strength,Biceps,Cable,Intermediate
AM Cable Biceps Curl,Strength,Biceps,Cable,Intermediate
Single-arm cable biceps curl,Strength,Biceps,Cable,Intermediate
UP Cable Curl With Straight Bar,Strength,Biceps,Cable,Intermediate
30 Arms Cable Rope Hammer Curl,Strength,Biceps,Cable,Intermediate
30 Arms Squatting Cable Straight-Bar Curl,Strength,Biceps,Cable,Intermediate
30 Arms High Cable Curl,Strength,Biceps,Cable,Intermediate
30 Arms Cable Straight-Bar Curl,Strength,Biceps,Cable,Intermediate
30 Arms Cable Concentration Curl,Strength,Biceps,Cable,Intermediate
30 Arms BFR High Cable Curl,Strength,Biceps,Cable,Intermediate
BFR cable rope hammer curl,Strength,Biceps,Cable,Intermediate
Machine Bicep Curl,Strength,Biceps,Machine,Beginner
Machine Preacher Curls,Strength,Biceps,Machine,Beginner
Single-arm machine preacher curl,Strength,Biceps,Machine,Intermediate
Machine preacher curl,Strength,Biceps,Machine,Intermediate
Smith machine drag curl,Strength,Biceps,Machine,Intermediate
30 Arms BFR Machine Preacher Curl,Strength,Biceps,Machine,Intermediate
Seated Biceps,Stretching,Biceps,Body Only,Beginner
TBS Chin-Up,Strength,Biceps,Body Only,Intermediate
Pull-up - Gethin Variation,Strength,Biceps,Body Only,Intermediate
UN Pull-Up Supinated,Strength,Biceps,Body Only,Intermediate
UN Pull-Up Pronated,Strength,Biceps,Body Only,Intermediate
UN Pull-Up Neutral,Strength,Biceps,Body Only,Intermediate
EZ-Bar Curl,Strength,Biceps,E-Z Curl Bar,Intermediate
Reverse Barbell Preacher Curls,Strength,Biceps,E-Z Curl Bar,Beginner
Close-Grip EZ-Bar Curl with Band,Strength,Biceps,E-Z Curl Bar,Beginner
Standing EZ-Bar Curl - Gethin Variation,Strength,Biceps,E-Z Curl Bar,Intermediate
TBS EZ-Bar Curl,Strength,Biceps,E-Z Curl Bar,Intermediate
Standing EZ-bar curl,Strength,Biceps,E-Z Curl Bar,Intermediate
30 Arms Standing Overhand EZ-Bar Curl,Strength,Biceps,E-Z Curl Bar,Intermediate
30 Arms EZ-Bar Spider Curl,Strength,Biceps,E-Z Curl Bar,Intermediate
30 Arms EZ-Bar Preacher Curl,Strength,Biceps,E-Z Curl Bar,Intermediate
30 Arms Standing EZ-Bar Curl,Strength,Biceps,E-Z Curl Bar,Intermediate
Calf Raises - With Bands,Strength,Calves,Bands,Beginner
Peroneals Stretch,Stretching,Calves,Bands,Intermediate
Posterior Tibialis Stretch,Stretching,Calves,Bands,Intermediate
Calf SMR,Stretching,Calves,Foam Roll,Beginner
Rocking Standing Calf Raise,Strength,Calves,Barbell,Beginner
Standing barbell calf raise,Strength,Calves,Barbell,Beginner
Barbell Seated Calf Raise,Strength,Calves,Barbell,Beginner
Smith machine standing calf raise,Strength,Calves,Barbell,Intermediate
Calf Raise On A Dumbbell,Strength,Calves,Dumbbell,Beginner
Standing Dumbbell Calf Raise,Strength,Calves,Dumbbell,Intermediate
Single-leg standing dumbbell calf raise,Strength,Calves,Dumbbell,Intermediate
Dumbbell walking calf raise,Strength,Calves,Dumbbell,Intermediate
Balance Board,Strength,Calves,Other,Beginner
Weighted donkey calf raise,Strength,Calves,Other,Intermediate
Anterior Tibialis-SMR,Stretching,Calves,Other,Beginner
Foot-SMR,Stretching,Calves,Other,Beginner
Agility Ladder,Cardio,Calves,Other,Intermediate
Single-leg machine seated calf raise,Strength,Calves,Other,Intermediate
Smith Machine Calf Raise,Strength,Calves,Machine,Intermediate
Standing Calf Raises,Strength,Calves,Machine,Beginner
Seated Calf Raise,Strength,Calves,Machine,Intermediate
Calf Press On The Leg Press Machine,Strength,Calves,Machine,Intermediate
Calf Press,Strength,Calves,Machine,Beginner
Smith Machine Reverse Calf Raises,Strength,Calves,Machine,Beginner
Seated Single-Leg Calf Press - Gethin Variation,Strength,Calves,Machine,Intermediate
Seated Calf Raise - Gethin Variation,Strength,Calves,Machine,Intermediate
Donkey Calf Raise - Gethin Variation,Strength,Calves,Machine,Intermediate
Standing Calf Raise Facing Hack Squat Machine - Gethin Variation,Strength,Calves,Machine,Intermediate
Calf Press On A Hack Squat Machine - Gethin Variation,Strength,Calves,Machine,Intermediate
Smith Machine Standing Calf Raises - Gethin Variation,Strength,Calves,Machine,Intermediate
Hack squat calf raise,Strength,Calves,Machine,Intermediate
Seated Calf Press - Gethin Variation,Strength,Calves,Machine,Intermediate
Leg press calf raise,Strength,Calves,Machine,Intermediate
Machine seated calf raise,Strength,Calves,Machine,Intermediate
30 Legs Seated Calf Raise,Strength,Calves,Machine,Intermediate
30 Legs Standing Calf Raise,Strength,Calves,Machine,Intermediate
Peroneals-SMR,Stretching,Calves,Body Only,Intermediate
Knee Circles,Stretching,Calves,Body Only,Beginner
Standing Gastrocnemius Calf Stretch,Stretching,Calves,Body Only,Intermediate
Wall calf stretch,Stretching,Calves,Body Only,Intermediate
Seated Calf Stretch,Stretching,Calves,Body Only,Intermediate
Standing Calf Raise,Strength,Calves,Body Only,Intermediate
Standing calf raise-,Strength,Calves,Body Only,Intermediate
HM Left Calf-Spike Sumo Pulse,Strength,Calves,Body Only,Intermediate
Cross Over - With Bands,Strength,Chest,Bands,Beginner
Bench Press - With Bands,Strength,Chest,Bands,Beginner
Bench Press With Short Bands,Powerlifting,Chest,Bands,Beginner
Feet-Elevated TRX Push-Up,Strength,Chest,Bands,Beginner
Band-suspended kettlebell bench press,Strength,Chest,Bands,Intermediate
HM Banded Cross-Over Pull,Strength,Chest,Bands,Intermediate
Rusin Band Pull-Apart,Strength,Chest,Bands,Intermediate
UNS Banded Push-Up,Strength,Chest,Bands,Intermediate
Taylor Band-Assisted One-Arm Push-Up,Strength,Chest,Bands,Intermediate
Incline band bench press,Strength,Chest,Bands,Intermediate
Band push-up,Strength,Chest,Bands,Intermediate
Band chest fly,Strength,Chest,Bands,Intermediate
Close-grip bench press,Strength,Chest,Barbell,Intermediate
Barbell Bench Press - Medium Grip,Strength,Chest,Barbell,Intermediate
Decline barbell bench press,Strength,Chest,Barbell,Intermediate
Wide-grip bench press,Strength,Chest,Barbell,Beginner
Wide-Grip Decline Barbell Bench Press,Strength,Chest,Barbell,Beginner
Barbell Incline Bench Press Medium-Grip,Strength,Chest,Barbell,Intermediate
Neck Press,Strength,Chest,Barbell,Beginner
Front Raise And Pullover,Strength,Chest,Barbell,Beginner
Board bench press,Powerlifting,Chest,Barbell,Intermediate
Barbell Bench Press-Wide Grip,Strength,Chest,Barbell,Beginner
Wide-Grip Decline Barbell Pullover,Strength,Chest,Barbell,Beginner
Barbell Guillotine Bench Press,Strength,Chest,Barbell,Beginner
Band-suspended kettlebell bench press,Strength,Chest,Bands,Intermediate
Paul Carter Incline Bench Press,Strength,Chest,Barbell,Intermediate
Incline bench press,Strength,Chest,Barbell,Intermediate
Bench press,Strength,Chest,Barbell,Intermediate
TBS Close-Grip Bench Press,Strength,Chest,Barbell,Intermediate
AM Flat Bench Barbell Press,Strength,Chest,Barbell,Intermediate
UP Bench Press,Strength,Chest,Barbell,Intermediate
UP Close-Grip Bench Press,Strength,Chest,Barbell,Intermediate
King Maker Barbell Bench Press,Strength,Chest,Barbell,Intermediate
King Maker Incline Barbell Bench Press,Strength,Chest,Barbell,Intermediate
30 Chest Incline Barbell Bench Press,Strength,Chest,Barbell,Intermediate
30 Chest Barbell Bench Press,Strength,Chest,Barbell,Intermediate
30 Chest 30-Degree Incline Dumbbell Press,Strength,Chest,Barbell,Intermediate
Spoto press,Strength,Chest,Barbell,Intermediate
Kettlebell plyo push-up,Strength,Chest,Kettlebells,Intermediate
Extended Range One-Arm Kettlebell Floor Press,Strength,Chest,Kettlebells,Beginner
Kettlebell alternating floor press,Strength,Chest,Kettlebells,Beginner
One-Arm Kettlebell Floor Press,Strength,Chest,Kettlebells,Beginner
Leg-Over Floor Press,Strength,Chest,Kettlebells,Beginner
Band-suspended kettlebell bench press,Strength,Chest,Bands,Intermediate
FYR2 Push-Up to Kettlebell Hike Combo,Strength,Chest,Kettlebells,Intermediate
Pushups,Strength,Chest,Body Only,Intermediate
Incline Push-Up,Strength,Chest,Body Only,Intermediate
Hands-elevated push-up,Strength,Chest,Body Only,Beginner
Decline Push-Up,Strength,Chest,Body Only,Intermediate
Single-Arm Push-Up,Strength,Chest,Body Only,Beginner
Close push-up to wide push-up,Strength,Chest,Body Only,Intermediate
Wide-grip hands-elevated push-up,Strength,Chest,Body Only,Beginner
Push-Ups With Feet On An Exercise Ball,Strength,Chest,Body Only,Intermediate
Feet-elevated push-up,Strength,Chest,Body Only,Intermediate
Isometric Wipers,Strength,Chest,Body Only,Beginner
Clock push-up,Strength,Chest,Body Only,Beginner
Incline Push-Up Depth Jump,Plyometrics,Chest,Body Only,Intermediate
Push-Up Wide,Strength,Chest,Body Only,Beginner
Sphinx push-up,Strength,Chest,Body Only,Intermediate
Close-Hands Push-Up,Strength,Chest,Body Only,Beginner
Tiger-bend push-up,Strength,Chest,Body Only,Beginner
Plyo push-up,Plyometrics,Chest,Body Only,Beginner
Close-grip hands-elevated push-up,Strength,Chest,Body Only,Intermediate
Suspended push-up,Strength,Chest,Body Only,Intermediate
Push Up to Side Plank,Strength,Chest,Body Only,Intermediate
Isometric Chest Squeezes,Plyometrics,Chest,Body Only,Beginner
Side-to-side push-up,Strength,Chest,Body Only,Beginner
Typewriter push-up,Strength,Chest,Body Only,Beginner
Diamond push-up,Strength,Chest,Body Only,Intermediate
Judo push-up,Strength,Chest,Body Only,Beginner
Superman Push-Up,Plyometrics,Chest,Body Only,Beginner
Wide push-up,Strength,Chest,Body Only,Beginner
One-Arm Push-Up,Strength,Chest,Body Only,Beginner
Clapping Push-Up,Plyometrics,Chest,Body Only,Beginner
Staggered push-up,Strength,Chest,Body Only,Beginner
Reverse-grip hands-elevated push-up,Strength,Chest,Body Only,Beginner
Triple Clap Push-Up,Plyometrics,Chest,Body Only,Beginner
Side kick-through push-up,Strength,Chest,Body Only,Intermediate
Swimming,Cardio,Chest,Body Only,Intermediate
FYR Push-Up,Strength,Chest,Body Only,Intermediate
Frog push-up,Strength,Chest,Body Only,Intermediate
Wide push-up plank hold,Strength,Chest,Body Only,Intermediate
Close push-up,Strength,Chest,Body Only,Intermediate
Push-Up - Gethin Variation,Strength,Chest,Body Only,Intermediate
HM Incline Push-Up On Chair,Strength,Chest,Body Only,Intermediate
HM Push-Up,Strength,Chest,Body Only,Intermediate
HM Push-Plank,Strength,Chest,Body Only,Intermediate
AM Chest Dips,Strength,Chest,Body Only,Intermediate
Push-up,Strength,Chest,Body Only,Intermediate
UP Push-up,Strength,Chest,Body Only,Intermediate
UN Push-Up,Strength,Chest,Body Only,Intermediate
UNS Foam Roll Pecs,Strength,Chest,Body Only,Intermediate
UN Hands Elevated Push-Up,Strength,Chest,Body Only,Intermediate
Holman Seal Drag to Push-Up,Strength,Chest,Body Only,Intermediate
Holman Hand-Elevated Push-Up with Hand Row,Strength,Chest,Body Only,Intermediate
Holman Push-Up,Strength,Chest,Body Only,Intermediate
Holman Slow Hips-Up Chest Press,Strength,Chest,Body Only,Intermediate
Holman Jump-Out Push-Up with Hand Hop Back,Strength,Chest,Body Only,Intermediate
Holman Froggy Push-Up to Donkey Kick,Strength,Chest,Body Only,Intermediate
Holman Push-Up to Sit Back,Strength,Chest,Body Only,Intermediate
Holman Sit Back Push-Up,Strength,Chest,Body Only,Intermediate
Holman Alternating Staggered Push-Up,Strength,Chest,Body Only,Intermediate
Holman Foot-Up Diving Push-Up,Strength,Chest,Body Only,Intermediate
Holman Narrow Push-Up,Strength,Chest,Body Only,Intermediate
Holman Dynamo Push-Up,Strength,Chest,Body Only,Intermediate
Holman Jump to Push-Up,Strength,Chest,Body Only,Intermediate
Holman Foot-Elevated Push-Up,Strength,Chest,Body Only,Intermediate
Holman Feet-Elevated Push-Up,Strength,Chest,Body Only,Intermediate
Total Fitness Plyo Push-Up,Strength,Chest,Body Only,Intermediate
Scapular push-up,Strength,Chest,Body Only,Intermediate
King Maker Push-up,Strength,Chest,Body Only,Intermediate
Warrior push-up,Strength,Chest,Body Only,Intermediate
Taylor Roll-Over Push-Up,Strength,Chest,Body Only,Intermediate
Taylor One-Arm Push-Up Slow Negative,Strength,Chest,Body Only,Intermediate
30 Chest Push-Up To Isometric Hold,Strength,Chest,Body Only,Intermediate
30 Chest Push-Up,Strength,Chest,Body Only,Intermediate
30 Chest Bench Push-Up,Strength,Chest,Body Only,Intermediate
MetaBurn 3-Phase Push-Up,Strength,Chest,Body Only,Intermediate
MetaBurn Fast Feet To Push-Up,Strength,Chest,Body Only,Intermediate
MetaBurn Judo Push-Up To Pike Push-Up,Strength,Chest,Body Only,Intermediate
MetaBurn Pike Push-Up,Strength,Chest,Body Only,Intermediate
MetaBurn Push-Up To Frogger,Strength,Chest,Body Only,Intermediate
MetaBurn Push-Up With Hand Side-Step,Strength,Chest,Body Only,Intermediate
MetaBurn Push-Up With Hand-Up Rotation,Strength,Chest,Body Only,Intermediate
MetaBurn Sphinx Push-Up,Strength,Chest,Body Only,Intermediate
MetaBurn Spiderman Push-Up,Strength,Chest,Body Only,Intermediate
Roberston Push-up to Down Dog,Strength,Chest,Body Only,Intermediate
FYR2 Push-Up-Breakdancer-Shoulder-Tap Complex,Strength,Chest,Body Only,Intermediate
ACFT Hand-release push-up,Strength,Chest,Body Only,Intermediate
1.5-rep push-up,Strength,Chest,Body Only,Intermediate
ACFT Triple-clap push-up,Strength,Chest,Body Only,Intermediate
ACFT Superman push-up,Strength,Chest,Body Only,Intermediate
Cross-over push-up,Strength,Chest,Body Only,Intermediate
Leverage Incline Chest Press,Strength,Chest,Machine,Beginner
Butterfly,Strength,Chest,Machine,Intermediate
Leverage Chest Press,Strength,Chest,Machine,Beginner
Decline Smith Press,Strength,Chest,Machine,Beginner
Smith machine bench press,Strength,Chest,Machine,Intermediate
Leverage Decline Chest Press,Strength,Chest,Machine,Beginner
Machine chest press,Strength,Chest,Machine,Intermediate
Smith Machine Incline Bench Press,Strength,Chest,Machine,Intermediate
Smith Machine Close-Grip Bench Press,Strength,Chest,Machine,Intermediate
Smith Machine Decline Press,Strength,Chest,Machine,Beginner
Smith machine bench press throw,Strength,Chest,Machine,Beginner
Machine chest fly,Strength,Chest,Machine,Intermediate
Machine bench press,Strength,Chest,Machine,Intermediate
Machine Seated Chest Press - Gethin Variation,Strength,Chest,Machine,Intermediate
Smith machine weighted push-up,Strength,Chest,Machine,Intermediate
Smith machine incline bench press-,Strength,Chest,Machine,Intermediate
Smith machine decline bench press,Strength,Chest,Machine,Intermediate
AM Pec Dec,Strength,Chest,Machine,Intermediate
30 Chest Machine Flat Chest Press,Strength,Chest,Machine,Intermediate
Smith machine push-up,Strength,Chest,Machine,Intermediate
30 Chest Smith Machine Incline Chest Press,Strength,Chest,Machine,Intermediate
30 Chest Smith Machine Chest Press,Strength,Chest,Machine,Intermediate
30 Chest Machine Incline Chest Press,Strength,Chest,Machine,Intermediate
30 Chest Machine Fly,Strength,Chest,Machine,Intermediate
30 Chest 30-Degree Incline Smith Machine Press,Strength,Chest,Machine,Intermediate
Low-cable cross-over,Strength,Chest,Cable,Intermediate
Incline cable chest fly,Strength,Chest,Cable,Intermediate
Cable Crossover,Strength,Chest,Cable,Intermediate
Incline cable chest press,Strength,Chest,Cable,Beginner
Cable Chest Press,Strength,Chest,Cable,Beginner
Single-arm cable cross-over,Strength,Chest,Cable,Intermediate
Cable cross-over,Strength,Chest,Cable,Beginner
Standing Cable Chest Press,Strength,Chest,Cable,Beginner
Lying cable chest fly,Strength,Chest,Cable,Intermediate
Paul Carter Cable Cross-Over,Strength,Chest,Cable,Intermediate
One-Arm Cable Crossover - Gethin Variation,Strength,Chest,Cable,Intermediate
Incline Cable Fly - Gethin Variation,Strength,Chest,Cable,Intermediate
Cable Cross-Over - Gethin Variation,Strength,Chest,Cable,Intermediate
Seated cable chest fly,Strength,Chest,Cable,Intermediate
Single-arm incline cable cross-over-,Strength,Chest,Cable,Intermediate
High-to-low cable chest fly,Strength,Chest,Cable,Intermediate
UP Cable Cross-Over,Strength,Chest,Cable,Intermediate
UP Cable Fly,Strength,Chest,Cable,Intermediate
30 Chest Low-To-High Cable Fly,Strength,Chest,Cable,Intermediate
30 Chest Incline Cable Fly,Strength,Chest,Cable,Intermediate
30 Chest Incline Cable Chest Press,Strength,Chest,Cable,Intermediate
30 Chest High-To-Low Cable Press,Strength,Chest,Cable,Intermediate
30 Chest High-To-Low Cable Fly,Strength,Chest,Cable,Intermediate
30 Chest Shoulder-Height Cable Fly,Strength,Chest,Cable,Intermediate
Cable Pec Fly,Strength,Chest,Cable,Intermediate
Chest Push (multiple response),Plyometrics,Chest,Medicine Ball,Beginner
Medicine Ball Chest Pass,Plyometrics,Chest,Medicine Ball,Intermediate
Medicine ball sprawl to chest press,Strength,Chest,Medicine Ball,Intermediate
Medicine ball push-up,Strength,Chest,Medicine Ball,Intermediate
Chest Push (single response),Plyometrics,Chest,Medicine Ball,Beginner
Chest Push with Run Release,Plyometrics,Chest,Medicine Ball,Beginner
Chest Push from 3 point stance,Plyometrics,Chest,Medicine Ball,Beginner
Dumbbell Bench Press,Strength,Chest,Dumbbell,Intermediate
Dumbbell Flyes,Strength,Chest,Dumbbell,Intermediate
Incline dumbbell bench press,Strength,Chest,Dumbbell,Intermediate
Decline Dumbbell Flyes,Strength,Chest,Dumbbell,Intermediate
Reverse-grip incline dumbbell bench press,Strength,Chest,Dumbbell,Beginner
Incline Dumbbell Flyes,Strength,Chest,Dumbbell,Intermediate
Neutral-grip dumbbell bench press,Strength,Chest,Dumbbell,Intermediate
Decline dumbbell bench press,Strength,Chest,Dumbbell,Intermediate
Single-arm kettlebell row,Strength,Chest,Dumbbell,Intermediate
Hammer Grip Incline DB Bench Press,Strength,Chest,Dumbbell,Beginner
Straight-arm dumbbell pull-over,Strength,Chest,Dumbbell,Intermediate
Incline Dumbbell Bench With Palms Facing In,Strength,Chest,Dumbbell,Beginner
Incline Dumbbell Flyes - With A Twist,Strength,Chest,Dumbbell,Beginner
Bent-arm dumbbell pull-over,Strength,Chest,Dumbbell,Intermediate
Close-grip dumbbell bench press,Strength,Chest,Dumbbell,Intermediate
Single-dumbbell push-up,Strength,Chest,Dumbbell,Intermediate
One-Arm Flat Bench Dumbbell Flye,Strength,Chest,Dumbbell,Beginner
Dumbbell Fix Dumbbell Floor Chest Fly,Strength,Chest,Dumbbell,Intermediate
Dumbbell Fix Traveling Push-Up,Strength,Chest,Dumbbell,Intermediate
Incline dumbbell chest fly,Strength,Chest,Dumbbell,Intermediate
Paul Carter Dumbbell Shrug,Strength,Chest,Dumbbell,Intermediate
Dumbbell push-up row,Strength,Chest,Dumbbell,Intermediate
TBS Dumbbell Incline Press,Strength,Chest,Dumbbell,Intermediate
Incline Dumbbell Fly - Gethin Variation,Strength,Chest,Dumbbell,Intermediate
Dumbbell bench press-,Strength,Chest,Dumbbell,Intermediate
